grupo,precision,recall,f1,fn_rate,fp_rate,seleccion,n
H,0.6116550481710661,0.7873563218390804,0.688472558959665,0.21264367816091953,0.2181066338201654,0.3910260336906585,32650
M,0.579938900203666,0.6438665912945166,0.6102330565229038,0.3561334087054833,0.0572003050682937,0.12129446640316205,16192
TOTAL,0.6074265155115064,0.7656370326003251,0.6774169127110303,0.23436296739967485,0.1556452698156372,0.3016051758732239,48842
